title	type	url_slug	venue	date	location	talk_url	description
Choice of Referring Expressions in Discourse: Computational Interpretation of Recency	Oral presentation	talk-1	1st Workshop on Computational Approaches to Discourse	20/11/2020	Virtual	https://slideslive.com/38939700/choice-of-referring-expressions-in-discourse-computational-interpretations-of-recency	
Choosing a Feature Set for Generating Referring Expressions in Context	Oral presentation	talk-2	The 28th International Conference on Computational Linguistics (COLING2020) 	10/12/2020	Virtual	https://slideslive.com/38939700/choice-of-referring-expressions-in-discourse-computational-interpretations-of-recency	A talk on the feture sets
